subject,predicate,object,sentence
Caramel,tell,story,"
- Caramel, a 2007 film by Nadine Labaki, tells the story of five women who work in a beauty salon in Beirut."
film,portray,Beirut,"
- The 2008 Israeli animated film Waltz with Bashir portrays Beirut during the Israeli invasion in 1982."
Bartlett,paint,view,"
- William Henry Bartlett painted a view of the city with Mount Lebanon in the background in 1838, with a poetical illustration by Letitia Elizabeth Landon, as The Cedars of Lebanon.[203]
- American rock band Beirut is named for the city.[204]"
show,depict,which,"- In the American television series Homeland, the episode ""Beirut Is Back"" (2012) was widely mocked for its portrayal of Beirut's Hamra neighbourhood, which the show depicted as being a Hezbollah stronghold."
city,mint,kinds,"In the 2nd century BC, the city, then known as Laodikeia, minted two main kinds of coins: civic issues in its own name and issues that also acknowledged the reigning Seleucid king."
that,acknowledge,king,"In the 2nd century BC, the city, then known as Laodikeia, minted two main kinds of coins: civic issues in its own name and issues that also acknowledged the reigning Seleucid king."
few,carry,legends,"A few also carry the Phoenician legends LL'DK' 'S BKN 'N or LL'DK' 'M BKN 'N, usually understood to mean ""Laodikeia in Canaan"" or ""Mother Laodikeia in Canaan""."
reverses,name,king,"Their reverses named the king in Greek and the city in Phoenician, along with the letters ΛΑ and the monogram Φ. After c. 123 BC, the Phoenician formulas ""Laodikeia in Canaan"" and ""Mother Laodikeia in Canaan"" are no longer attested.[35"
king,steal,two,"In
- ^ E.g., EA 105, where he complains to the pharaoh that Beirut's king had stolen two of his merchants' ships."
troops,leave,Lebanon,"
- ^ ""2005: Syrian troops leave Lebanon""."
Lebanon,launch,Relations,"
- ^ ""Syria, Lebanon Formally Launch Diplomatic Relations""."
ISIS,claim,Bombings,"^ ""ISIS Claims Deadly Dual Beirut Bombings""."
State,claim,responsibility,"43 killed, 239 wounded in Beirut twin blasts; Islamic State claims responsibility""."
explosion,leave,"300,000","""Beirut explosion left 300,000 homeless, caused up to $15 billion in damage""."
protests,rock,Beirut,"
- ^ ""Lebanese call for an uprising after protests rock Beirut""."
River,choke,suburb,"""Lebanon: River of trash chokes Beirut suburb""."
guide,rat,Glasgow,"""Lonely Planet guide rates Glasgow as one of the world's top 10 cities""."
France,deliver,buses,"- ^ ""France delivers 50 donated buses to Lebanon""."
Ministry,announce,lines,"
- ^ ""Transport Ministry announces public bus lines connecting Beirut to Sour, Tripoli and the Bekaa""."
Portrayal,prompt,Lebanon,"CS1 maint: bot: original URL status unknown (link) - ^ ""'Homeland's' Portrayal of Beirut Prompts Lebanon to Consider Lawsuit""."
Tripoli,overlook,Sea,"Tripoli overlooks the eastern Mediterranean Sea, and it is the northernmost seaport in Lebanon."
Landmarks,include,Mosque,"Landmarks of Tripoli include the Mansouri Great Mosque and the Citadel of Tripoli, which is the largest crusader castle in Lebanon."
city,have,concentration,The city has the second highest concentration of Mamluk architecture after Cairo.
Tripoli,hold,string,"Tripoli also holds a string of four small islands offshore, the Palm Islands, which were declared a protected area because of their status as a haven for endangered loggerhead turtles (Caretta caretta), rare monk seals and migratory birds."
Tripoli,border,city,"Tripoli borders the city of El Mina, the port of the Tripoli District, which it is geographically conjoined with to form the greater Tripoli conurbation."
they,call,it,"When the Ancient Greeks settled in the city they called it Trípolis, meaning 'triple city', influenced by the earlier phonetically similar but etymologically unrelated name Derbly.[12]"
Arabs,call,it,"The Arabs called it Ṭarābulus and Ṭarābulus ash-Shām (referring to bilād ash-Shām, or Levant, to distinguish it from the Libyan city with the same name)."
city,give,History,"
The city of Tripoli is also given the title of ""City of Knowledge and Scholars"" (Arabic: طرابلس مدينة العلم والعلماء, romanized: Ṭarābulus madīnat al-ʿilm wa-l-ʿulamāʾ).[14][15][16][17]
History
[edit]Evidence of settlement in Tripoli dates back as early as 1400 BC."
Phoenicians,establish,station,"There, the Phoenicians established a trading station and later, under Persian rule, the city became the center of a confederation of the Phoenician city-states of Sidon, Tyre, and Arados Island."
city,become,center,"There, the Phoenicians established a trading station and later, under Persian rule, the city became the center of a confederation of the Phoenician city-states of Sidon, Tyre, and Arados Island."
city,enjoy,period,"Under Hellenistic rule, Tripoli was used as a naval shipyard and the city enjoyed a period of autonomy."
earthquake,destroy,city,The 551 Beirut earthquake and tsunami destroyed the Byzantine city of Tripoli along with other Mediterranean coastal cities.
Tripoli,become,center,"During Umayyad rule, Tripoli became a commercial and shipbuilding center."
Crusaders,lay,siege,The Crusaders laid siege to the city at the beginning of the 12th century and were able finally to enter it in 1109.
This,cause,destruction,"This caused extensive destruction, including the burning of Tripoli's famous library, Dar al-'Ilm (House of Knowledge), with its thousands of volumes."
it,retain,prosperity,"During Ottoman rule from 1516 to 1918, it retained its prosperity and commercial importance."
Lebanon,achieve,independence,Tripoli and all of Lebanon was under French mandate from 1920 until 1943 when Lebanon achieved independence.
historians,reject,presence,[edit]Many historians reject the presence of any Phoenician civilization in Tripoli before the 8th (or sometimes 4th) century BC.
gradient,indicate,age,Others argue that the north–south gradient of Phoenician port establishments on the Lebanese coast indicates an earlier age for the Phoenician Tripoli.
Excavations,reveal,remains,"Excavations in El Mina revealed skeletal remains of ancient wolves, eels, and gazelles, part of the ancient southern port quay, grinding mills, different types of columns, wheels, bows, and a necropolis from the end of the Hellenistic period."
sounding,uncover,Age,"A sounding made in the Crusader castle uncovered Late Bronze Age, Iron Age, in addition to Roman, Byzantine, and Fatimid remains."
Tripoli,become,center,"At the Abou Halka area (at the southern entrance of Tripoli) refuges dating to the early (30,000 years old) and middle Stone Age were uncovered.[19]
Tripoli became a financial center and main port of northern Phoenicia with sea trade (East Mediterranean and the West), and caravan trade (North Syria and hinterland)."
Tripoli,gain,right,"
Under the Seleucids, Tripoli gained the right to mint its own coins (112 BC); it was granted autonomy between 104 and 105, which it retained until 64 BC."
it,grant,autonomy,"
Under the Seleucids, Tripoli gained the right to mint its own coins (112 BC); it was granted autonomy between 104 and 105, which it retained until 64 BC."
it,retain,which,"
Under the Seleucids, Tripoli gained the right to mint its own coins (112 BC); it was granted autonomy between 104 and 105, which it retained until 64 BC."
Tripoli,witness,construction,"During the Roman and Byzantine period, Tripoli witnessed the construction of important public buildings including a municipal stadium or gymnasium due to the strategic position of the city midway on the imperial coastal highway leading from Antioch to Ptolemais."
Tripoli,retain,configuration,"In addition, Tripoli retained the same configuration of three distinct and administratively independent quarters (Aradians, Sidonians, and Tyrians)."
community,trace,roots,"The Jewish community of Tripoli traces its roots back to the seventh century, as recounted by the Abbasid-era historian al-Baladhuri."
governor,settle,Jews,"During the caliphate of Rashidun caliph Uthman (644–655), the governor of Syria, Mu'awiya, settled Jews in Tripoli, fostering amicable relations with the majority Sunni Muslims."
synagogue,face,conversion,"However, during the persecution of dhimmis by the Shi'ite Fatimid caliph al-Hakim (996–1021), the synagogue faced conversion into a mosque."
city,become,town,"Notably, during the Seljuk invasion in the 1070s, Tripoli served as a refuge for Jews from Palestine, as documented in Cairo Geniza records.[22]
Crusader period
[edit]During the Crusade period, the city became the chief town of the County of Tripoli (a Crusader state founded by Raymond of Saint-Gilles) extending from Byblos to Latakia and including the plain of Akkar with the famous Krak des Chevaliers."
Tripoli,have,population,"At that time, Tripoli had a heterogeneous population including Western Europeans, Greeks, Armenians, Maronites, Nestorians, Jews, and Muslims."
Tripoli,witness,growth,"During that time, Tripoli witnessed the growth of the inland settlement surrounding the ""Pilgrim's Mountain"" (the Citadel of Tripoli) into a built-up suburb including the main religious monuments of the city such as: The ""Church of the Holy Sepulchre of Pilgrim's Mountain"" (incorporating the Shiite shrine), the Church of Saint Mary of the Tower, and the Carmelite Church."
who,occupy,castle,"The state was a major base of operations for the military order of the Knights Hospitaller, who occupied the famous castle Krak Des Chevaliers (today a UNESCO world heritage site)."
Mamluks,destroy,city,The Mamluks destroyed the old city and built a new city 4 km inland from it.[26]
Mamluks,fortify,city,"The Mamluks did not fortify the city with walls but restored and reused Saint-Gille's citadel.[26]
During the Mamluk period, Tripoli became a central city and provincial capital of the six kingdoms in Mamluk Syria."
Tripoli,become,city,"The Mamluks did not fortify the city with walls but restored and reused Saint-Gille's citadel.[26]
During the Mamluk period, Tripoli became a central city and provincial capital of the six kingdoms in Mamluk Syria."
It,include,Chevaliers).[30,"It also included Hermel, the plain of Akkar, and Hosn al-Akrad (Krak des Chevaliers).[30"
Tripoli,become,port,"Tripoli became a major trading port of Syria supplying Europe with candy, loaf and powdered sugar (especially during the latter part of the 14th century)."
Arabs,form,base,"Arabs formed the population base (religious, industrial, and commercial functions) and the general population included the original inhabitants of the city, immigrants from different parts of the Levant, North Africans who accompanied Qalawun's army during the liberation of Tripoli, Eastern Orthodox Christians, some Western families, and a minority of Jews."
population,include,inhabitants,"Arabs formed the population base (religious, industrial, and commercial functions) and the general population included the original inhabitants of the city, immigrants from different parts of the Levant, North Africans who accompanied Qalawun's army during the liberation of Tripoli, Eastern Orthodox Christians, some Western families, and a minority of Jews."
who,accompany,army,"Arabs formed the population base (religious, industrial, and commercial functions) and the general population included the original inhabitants of the city, immigrants from different parts of the Levant, North Africans who accompanied Qalawun's army during the liberation of Tripoli, Eastern Orthodox Christians, some Western families, and a minority of Jews."
city,have,towers,"The city had seven guard towers on the harbor site to defend the inland city, including what still stands today as the Lion Tower."
buildings,include,mosques,"Major buildings in Mamluk Tripoli included six congregational mosques (the Mansouri Great Mosque, al-Aattar, Taynal, al-Uwaysiyat, al-Burtasi, and al-Tawbat Mosques)."
Khalil,found,mosque,"Sultan al-Ashraf Khalil (r. 1290–93) founded the city's first congregational mosque in memory of his father (Qalawun), in either late 1293 or 1294 (693 AH).[31][32]"
Mamluks,fortify,city,The Mamluks did not fortify the city with walls but restored and reused a Crusader citadel on the site.[26]
Tripoli,include,madrasas,"Mamluk Tripoli also included 16 madrasas of which four no longer exist (al-Zurayqiyat, al-Aattar, al-Rifaiyah, and al-Umariyat)."
Tripoli,include,Khanqah,"Tripoli also included a Khanqah, many secular buildings, five Khans, three hammams (Turkish baths) that are noted for their cupolas."
Tripoli,become,capital,"Ottoman period
[edit]During the Ottoman period, Tripoli became the provincial capital and chief town of the Eyalet of Tripoli, encompassing the coastal territory from Byblos to Tarsus and the inland Syrian towns of Homs and Hama; the two other eyalets were Aleppo Eyalet, and Şam Eyalet."
Tripoli,witness,presence,Tripoli witnessed a strong presence of French merchants during the 17th and 18th centuries and became under intense inter-European competition for trade.
works,include,restoration,"Public works in Ottoman Tripoli included the restoration of the Citadel of Tripoli by Suleiman I, the Magnificent."
Tripoli,witness,development,"Ottoman Tripoli also witnessed the development of the southern entrance of the city and many buildings, such as the al-Muallaq or ""hanging"" Mosque (1559), al-Tahhan Mosque (early 17th century), and al-Tawbah mosque (Mamluk construction, destroyed by 1612 flood and restored during early Ottoman Period)."
It,include,buildings,"It also included several secular buildings, such as Khan al-Saboun (early 17th century) and Hammam al-Jadid (1740)."
French,create,territory,"
[edit]After the partition of the Ottoman Empire, the French created the territory of Greater Lebanon, whose borders forcibly separated Tripoli from Syria, a decision that was contested by Tripolitans.[35]"
borders,separate,Tripoli,"
[edit]After the partition of the Ottoman Empire, the French created the territory of Greater Lebanon, whose borders forcibly separated Tripoli from Syria, a decision that was contested by Tripolitans.[35]"
Tripoli,develop,identity,"Tripoli's population – mostly Sunni Muslims – found itself isolated in this state dominated by Christians, and so Tripoli developed a strong identity as a bastion for Muslim Arab nationalism and anti-imperialism.[35]"
French,cut,support,"During this period, protests demanding reunification with Syria were backed by the Syrian National Bloc until the French cut off their support, resulting in a massive 33 day general strike in 1936.[35]
Independent Lebanon
[edit]Tripoli has been mired in a period of extended economic and political decline during the period since Lebanon gained its independence."
Lebanon,gain,independence,"During this period, protests demanding reunification with Syria were backed by the Syrian National Bloc until the French cut off their support, resulting in a massive 33 day general strike in 1936.[35]
Independent Lebanon
[edit]Tripoli has been mired in a period of extended economic and political decline during the period since Lebanon gained its independence."
rise,deprive,Tripoli,"Beirut's rise as Lebanon's dominant port deprived Tripoli of its former preeminence as a trading hub, and globalization eroded the city's ability to compete in manufacturing.[36]"
globalization,erode,ability,"Beirut's rise as Lebanon's dominant port deprived Tripoli of its former preeminence as a trading hub, and globalization eroded the city's ability to compete in manufacturing.[36]"
war,hit,Tripoli,"Lebanon's civil war, from 1975 to 1990, hit Tripoli hard."
which,control,harbour,"On 15 September 1985 intense fighting broke out between Tawheed al-Islami, a Sunni militia which controlled the harbour and was backed by the PLO, and the Alawite Arab Democratic Party’s militia."
people,leave,homes,"After a week of fighting which saw around 150 killed, 4500 wounded and 200,000 people leaving their homes, the Syrians brokered a truce which involved the Syrian army occupying five key positions and the removal of heavy weapons.[37]"
Syrians,broker,truce,"After a week of fighting which saw around 150 killed, 4500 wounded and 200,000 people leaving their homes, the Syrians brokered a truce which involved the Syrian army occupying five key positions and the removal of heavy weapons.[37]"
army,occupy,positions,"After a week of fighting which saw around 150 killed, 4500 wounded and 200,000 people leaving their homes, the Syrians brokered a truce which involved the Syrian army occupying five key positions and the removal of heavy weapons.[37]"
Tripoli,suffer,some,"As a majority Sunni city with a growing strain of indigenous Islamist militancy, Tripoli suffered some of the Syrians’ cruelest predations at a time when then-President Hafez al-Assad was engaged in the brutal suppression of Syria’s own Muslim Brotherhood.[36]
Wartime violence and instability triggered waves of emigration and capital flight."
violence,trigger,waves,"As a majority Sunni city with a growing strain of indigenous Islamist militancy, Tripoli suffered some of the Syrians’ cruelest predations at a time when then-President Hafez al-Assad was engaged in the brutal suppression of Syria’s own Muslim Brotherhood.[36]
Wartime violence and instability triggered waves of emigration and capital flight."
It,leave,Tripoli,"It also left Tripoli increasingly isolated, not least due to the dismantling of Lebanon's rail network and the abandonment of the Tripoli railway station."
city,see,little,"The city, moreover, saw little of the post-war reconstruction funding that Prime Minister Rafic Hariri ushered into Lebanon, with an overwhelming focus on the capital.[36]"
Hariri,usher,that,"The city, moreover, saw little of the post-war reconstruction funding that Prime Minister Rafic Hariri ushered into Lebanon, with an overwhelming focus on the capital.[36]"
figure,precede,crisis,"That already high figure preceded Lebanon's 2019 financial crisis, which has ratcheted up poverty and food insecurity.[40]
Tripoli's stagnation is attributable, in part, to the city's dysfunctional politics, in which a fragmented array of Sunni political figures (such as Saad Hariri, Najib Mikati, Faisal Karami, and Ashraf Rifi) vie for influence through competing networks of patronage: ""No single leader has been able to assert dominance, leaving city politics to devolve into chaos.""[41"
which,ratchet,poverty,"That already high figure preceded Lebanon's 2019 financial crisis, which has ratcheted up poverty and food insecurity.[40]
Tripoli's stagnation is attributable, in part, to the city's dysfunctional politics, in which a fragmented array of Sunni political figures (such as Saad Hariri, Najib Mikati, Faisal Karami, and Ashraf Rifi) vie for influence through competing networks of patronage: ""No single leader has been able to assert dominance, leaving city politics to devolve into chaos.""[41"
Muslims,make,%,"]
Demographics
[edit]In 2014, Muslims made up 92.21% and Christians made up 7.31% of registered voters in Tripoli."
Christians,make,%,"]
Demographics
[edit]In 2014, Muslims made up 92.21% and Christians made up 7.31% of registered voters in Tripoli."
Tripoli,have,population,"Tripoli has a majority Arab, Sunni Muslim population in neighbourhoods such as Bab al-Tabbaneh, right next to the [3][6] small Lebanese-Alawite community that is concentrated in the Jabal Mohsen neighborhood."
Christians,constitute,percent,Christians constitute today less than 5 percent of the population of the city.[6][43]
population,comprise,Christians,"The Christian population in the city comprises Greek Orthodox Christians, Maronites and Greek Catholics, along with Armenians.[3]
Tripoli stands as one of Lebanon's less stable cities, marked by recurrent sectarian tensions among its communities, notably the Sunni and Alawite populations."
Sunnis,support,opposition,"The impact of the Syrian civil war, beginning in 2011, had extended into Tripoli, where Alawites aligned with the former Assad regime, and Sunnis supported the opposition, resulting in frequent and intense clashes between the two groups."
edit]Tripoli,have,climate,"
Geography
[edit]Climate
[edit]Tripoli has a hot-summer Mediterranean climate (Csa) with mild wet winters and very dry, hot summers."
who,dominate,city,"
Landmarks
[edit]Citadel of Tripoli
[edit]The Citadel of Tripoli is also known as the Castle of Saint-Gilles (Arabic: قلعة سان جيل Qalʻat Sān Jīl; French: Château Saint-Gilles), in reference to Raymond de Saint-Gilles, who dominated the city in 1102 and commanded a fortress to be built in which he named Mont Pèlerin (Mount Pilgrim)."
he,name,Pèlerin,"
Landmarks
[edit]Citadel of Tripoli
[edit]The Citadel of Tripoli is also known as the Castle of Saint-Gilles (Arabic: قلعة سان جيل Qalʻat Sān Jīl; French: Château Saint-Gilles), in reference to Raymond de Saint-Gilles, who dominated the city in 1102 and commanded a fortress to be built in which he named Mont Pèlerin (Mount Pilgrim)."
who,order,restoration,"Later the citadel was rebuilt in part by the Ottoman Empire which can be seen today, with its massive Ottoman gateway, over which is an engraving from Süleyman the Magnificent who had ordered the restoration."
Tower,undergo,renovation,"
The Clock Tower underwent a renovation in 1992, and now the clock tower is again operational."
he,describe,city,"Hammams
[edit]When Tripoli was visited by Ibn Batutah in 1355, he described the newly rebuilt Mamluk city."
Tháhir,retake,it,"It was taken by the Franks, but al-Malik ath-Tháhir (Qala’un) retook it from them, and then laid the place in ruins and built the present town."
site,contain,buildings,"The site contains 15 partly-completed Niemeyer buildings within an approximate 75.6 ha (187-acre) area near Tripoli's southern entrance.[47]
""More recent years have seen the fairground undermined by a mixture of periodic instability and nonsensical administrative procedures that make it virtually impossible to put the facility to use."
city,need,metaphors,"If the city needed any more physical metaphors for decay, the fairground is flanked by a Quality Inn that is literally falling apart, and whose ownership is years overdue on payment to the site’s administrators."
churches,show,Mosques,"These churches also show the diversity of Christians in Lebanon and particularly in Tripoli:
- Saint Michael Cathedral of the Maronite Catholic Archeparchy
- St. Elie Greek Orthodox Church
- St. Ephrem Syriac Orthodox Church
- St Francis Roman Catholic Church
- St. Georges Melkite Greek Catholic Cathedral
- Saint Hokekalousd Armenian Orthodox Church
- St. John of the Pilgrims Mount church Maronite Catholic Church
- Our Lady of the Annunciation Melkite Greek Catholic Cathedral
- Then National Evangelical Church
Mosques
[edit]Tripoli is richly supplied with mosques,"
neighborhoods,become,Commerce,"The city grapples with elevated unemployment rates, and certain impoverished neighborhoods have become strongholds for Islamist and other radical factions.[3]
Commerce
[edit]Tripoli, while once economically comparable to Beirut, has declined in recent decades.[6]"
that,have,"300,000","The Tripoli Special Economic Zone (TSEZ) was established in 2008 to provide exemptions from many taxes and duties for investment projects that have more than $300,000 of capital and more than half their workers from Lebanon.[51]"
Vision,sponsor,Inequality,"The Tripoli Vision 2020 was sponsored by the Prime Minister Saad Hariri Office and the Tripoli MPs Joint Office with the comprehensive study conducted by Samir Chreim of SCAS Inc.[53]
Inequality
[edit]Tripoli embodies Lebanon's extreme wealth inequality: Although it is one of the country's most concentrated centers of poverty, it is also the hometown of several extravagantly wealthy politicians, notably including Najib Mikati, Taha Mikati and Mohammad Safadi who are accused of accumulating their wealth by embezzling government funds.[54]
Khan el-Khayyatin–the Tailors' Khan
[edit]Unlike other khans built around a square courtyard, el-Khayyatin, built in the 14th century, is a 60 meter long passage with arches on each side.[55]
The Soap Khan
[edit]The khan, built around a square courtyard decorated with a fountain, houses soap making workshops and shops."
edit]Tripoli,embody,inequality,"The Tripoli Vision 2020 was sponsored by the Prime Minister Saad Hariri Office and the Tripoli MPs Joint Office with the comprehensive study conducted by Samir Chreim of SCAS Inc.[53]
Inequality
[edit]Tripoli embodies Lebanon's extreme wealth inequality: Although it is one of the country's most concentrated centers of poverty, it is also the hometown of several extravagantly wealthy politicians, notably including Najib Mikati, Taha Mikati and Mohammad Safadi who are accused of accumulating their wealth by embezzling government funds.[54]
Khan el-Khayyatin–the Tailors' Khan
[edit]Unlike other khans built around a square courtyard, el-Khayyatin, built in the 14th century, is a 60 meter long passage with arches on each side.[55]
The Soap Khan
[edit]The khan, built around a square courtyard decorated with a fountain, houses soap making workshops and shops."
khan,house,workshops,"The Tripoli Vision 2020 was sponsored by the Prime Minister Saad Hariri Office and the Tripoli MPs Joint Office with the comprehensive study conducted by Samir Chreim of SCAS Inc.[53]
Inequality
[edit]Tripoli embodies Lebanon's extreme wealth inequality: Although it is one of the country's most concentrated centers of poverty, it is also the hometown of several extravagantly wealthy politicians, notably including Najib Mikati, Taha Mikati and Mohammad Safadi who are accused of accumulating their wealth by embezzling government funds.[54]
Khan el-Khayyatin–the Tailors' Khan
[edit]Unlike other khans built around a square courtyard, el-Khayyatin, built in the 14th century, is a 60 meter long passage with arches on each side.[55]
The Soap Khan
[edit]The khan, built around a square courtyard decorated with a fountain, houses soap making workshops and shops."
governor,establish,Saboun,"At the end of the 15th century, the governor of Tripoli Yusuf Sayfa Pasha established Khan Al Saboun (the hotel of soap traders)."
UN,visit,place,"""Portrait of poverty in Lebanon as UN visits poorest place on Med""."
city,highlight,inequality,"""Billionaires and bankrupts: Lebanon's second city highlights inequality""."
that,connect,city,"Many historians believe that Jezzine served as a storing location for traders because of its strategic location on the caravan route that connected the ancient port city of Sidon to the Chouf, the Beqaa Valley, and to Syria.[2]"
Julián,establish,store,"After moving to Mexico City, Julián established a dry goods store—La Estrella de Oriente (The Star of the Orient)."
One,inherit,talent,"One of his sons,Carlos Slim Helú, born on 28 January 1940 in Mexico City, inherited his father's business talent and ultimately became the richest man in the world in 2007.[3]"
Jezzine,become,part,", Jezzine became part of the Israeli ‘security zone’."
Mehaidli,blow,herself,On 9 April 1985 Sana'a Mehaidli—a member of the Syrian Social Nationalist Party—blew herself up next to an Israeli convoy in Jezzine killing 2 Israeli soldiers and inuring ten more.[4]
patrol,kill,men.[8,"The following day, an IDF patrol in the area killed three more Hezbollah men.[8]"
unit,control,villages,The Israeli backed unit controlled five neighboring villages.
Hezbollah,launch,campaign,"In the spring of 1997, Hezbollah launched a five-month campaign attempting to cut off the SLA in Jezzine from the IDF and the other SLA forces further south."
IDF,detain,number,"In the aftermath, the IDF detained a number of youths in the town, and SLA commander-in-chief Antoine Lahad visited and made threats of “unspecified violence” if attacks continued."
head,visit,town,"The following month, 17 July, the Israeli head of Northern Command—Major General Amiram Levin—visited the town in an attempt to bolster SLA morale."
bomb,kill,children,"On 18 August, a roadside bomb killed two teenage children of a local SLA commander who had been previously killed four years earlier."
which,kill,civilians,The SLA responded with indiscriminate shelling of Sidon which killed seven civilians and wounded thirty-five.
members,commandeer,houses,"Retreating SLA members and their families commandeered empty houses in Marjayun, Ibl al-Saqi and Kawkaba in the Indian UNIFIL zone."
SLA,have,men.[11,"At the time, it was estimated that the SLA had only four hundred men.[11]"
Christians,make,%,"
Demographics
[edit]In 2014, Christians made up 99.11% of registered voters in Jezzine."
Jezzine,play,films,"Theatres
Empire Jezzine, the local movie theatre, played Hollywood and Lebanese films."
who,produce,cutlery,The first family who produced this cutlery is the el Haddad family and started the company in 1770.
families,build,businesses,"The Aziz and Slim families have built sizeable businesses in Mexico, as well as the Karam and Wehbe families in West Africa."
It,include,icon,"The churches in Jezzine are:
- Saydet el-Yanbou' Church (built in 1796): It includes a valuable icon of the Virgin and her Baby, Jesus (painted by the Italian artist ""Piarotti"")."
it,have,chapel,"
- St. Anthony Church (built in the 19th century): it has a central chapel beside which there are two other chapels."
architecture,have,columns,"
- St. Joseph Church (built in 1860): its architecture and vaults have no central columns, and is divided into two parts: The first (for men) is higher than the other part (for women).
"
Wines,own,Landmarks,"Karam Wines, Southern Lebanon's only winery, owns land in the area where they primarily grow Syrah and Cabernet Sauvignon.[18]
Landmarks
[edit]- Jezzine's Waterfalls, some as high as 90 m (295 ft)
- Our Lady of the Waterfall, a Marian shrine
- The 400-year-old Kanaan Family Palace
- The Farid Serhal Palace
- The Chir cliff has views of the forested mountains and one of Jezzine's waterfalls that drops 90 m over the cliff.[17]
- The Grotto of Fakhreddin II
Notable people
[edit]- Joseph Azar (singer)
- Raymond Azar, the head of the Lebanese military intelligence.
- Jean Aziz (1917), Minister of Labour and Social Affairs (1961), Minister of Media and Planning (1968), Minister of Communication and Public Works."
they,grow,Syrah,"Karam Wines, Southern Lebanon's only winery, owns land in the area where they primarily grow Syrah and Cabernet Sauvignon.[18]
Landmarks
[edit]- Jezzine's Waterfalls, some as high as 90 m (295 ft)
- Our Lady of the Waterfall, a Marian shrine
- The 400-year-old Kanaan Family Palace
- The Farid Serhal Palace
- The Chir cliff has views of the forested mountains and one of Jezzine's waterfalls that drops 90 m over the cliff.[17]
- The Grotto of Fakhreddin II
Notable people
[edit]- Joseph Azar (singer)
- Raymond Azar, the head of the Lebanese military intelligence.
- Jean Aziz (1917), Minister of Labour and Social Affairs (1961), Minister of Media and Planning (1968), Minister of Communication and Public Works."
cliff,have,people,"Karam Wines, Southern Lebanon's only winery, owns land in the area where they primarily grow Syrah and Cabernet Sauvignon.[18]
Landmarks
[edit]- Jezzine's Waterfalls, some as high as 90 m (295 ft)
- Our Lady of the Waterfall, a Marian shrine
- The 400-year-old Kanaan Family Palace
- The Farid Serhal Palace
- The Chir cliff has views of the forested mountains and one of Jezzine's waterfalls that drops 90 m over the cliff.[17]
- The Grotto of Fakhreddin II
Notable people
[edit]- Joseph Azar (singer)
- Raymond Azar, the head of the Lebanese military intelligence.
- Jean Aziz (1917), Minister of Labour and Social Affairs (1961), Minister of Media and Planning (1968), Minister of Communication and Public Works."
influx,alarm,Christians,"""Lebanon's refugee influx alarms Christians""."
France,enjoy,relations,"France and Lebanon enjoy friendly relations, and France has often provided support to the Lebanese.[1][2]"
France,provide,support,"France and Lebanon enjoy friendly relations, and France has often provided support to the Lebanese.[1][2]"
Lebanon,become,part,"
[edit]At the end of the 11th century, Lebanon became a part of the Frankish Crusader states, the north being incorporated into the County of Tripoli, the south into the Kingdom of Jerusalem."
isolation,preclude,contact,"The Maronite Church, whose isolation had previously precluded contact with Rome, affirmed papal supremacy while keeping its own patriarch and liturgy.[3]
Despite the strong fortresses of the Crusaders, such as the Citadel of Tripoli, Beaufort Castle, Mseilha Fort, or the Sidon Sea Castle, a Muslim reconquest of Lebanon began, under the leadership of Egypt, with the fall of Beirut to the sultan Saladin in 1187."
Church,affirm,supremacy,"The Maronite Church, whose isolation had previously precluded contact with Rome, affirmed papal supremacy while keeping its own patriarch and liturgy.[3]
Despite the strong fortresses of the Crusaders, such as the Citadel of Tripoli, Beaufort Castle, Mseilha Fort, or the Sidon Sea Castle, a Muslim reconquest of Lebanon began, under the leadership of Egypt, with the fall of Beirut to the sultan Saladin in 1187."
Lebanon,become,part,"Lebanon became part of the Mamluk state of Egypt and Syria in the 1280s and ’90s and was divided between several provinces.[3]
In 1649, thanks to the successful mission of Archbishop Ishaq al-Shidrawi to the French court, the Maronites in Lebanon were placed under French protection and a French vice consulate established in Beirut.[4]"
ambassador,remind,government,"When in 1700 Maronite patriarch appealed to the French government to intervene on behalf of the Maronites of Lebanon, the ambassador to the Sublime Porte reminded the Ottoman government of France's protection and the Maronite patriarchs gained some independence from the Ottoman sultan.[5]"
patriarchs,gain,independence,"When in 1700 Maronite patriarch appealed to the French government to intervene on behalf of the Maronites of Lebanon, the ambassador to the Sublime Porte reminded the Ottoman government of France's protection and the Maronite patriarchs gained some independence from the Ottoman sultan.[5]"
troops,aid,forces,"In 1860, with Lebanon still under Ottoman rule, France intervened militarily in the civil conflict between Christians and Druze in Mount Lebanon, after Ottoman troops had been aiding local Druze and Muslim forces by either direct support or by disarming Christian forces."
which,become,University,"
The Mutasarrifate era, coinciding with the Nahda period, was characterized by the spread of Lebanese national consciousness, science and culture among the Lebanese, for many reasons, including: the spread of missions and schools in numerous villages, towns and cities, and the opening of two large universities that are still among the oldest and most prestigious universities in the Middle East: the Syrian Evangelical College, which became the American University of Beirut, and Saint Joseph University."
Lebanon,become,part,"Lebanon officially became part of the French empire, as part of the French Mandate for Syria and Lebanon, and was administered from Beirut."
who,enter,territory,"In August of that same year, General De Gaulle returned to Lebanon to meet with the occupying British forces who had entered the territory to prevent German advances into the Levant.[10]"
France,distribute,seats,"In March 1943, using the 1932 census, France distributed seats in the Lebanese parliament on a ratio of six-to-five in favor of Christians."
